iter	Passed	Remaining
465	743	851
466	745	850
467	746	849
468	747	846
469	748	844
470	749	842
471	750	839
472	751	837
473	752	835
474	753	833
475	755	831
476	756	829
477	758	828
478	760	827
479	762	825
480	763	823
481	764	821
482	765	819
483	766	816
484	766	814
485	767	812
486	768	809
487	769	807
488	770	805
489	772	803
490	774	802
491	775	800
492	776	798
493	777	796
494	778	794
495	779	792
496	780	789
497	781	787
498	782	785
499	783	783
500	784	781
501	785	779
502	787	777
503	788	776
504	790	774
505	791	772
506	792	770
507	793	768
508	795	767
509	796	765
510	797	763
511	798	761
512	799	759
513	800	756
514	801	755
515	803	754
516	805	752
517	806	750
518	807	748
519	808	746
520	810	745
521	811	743
522	812	741
523	813	739
524	814	736
525	815	734
526	816	733
527	818	731
528	820	730
529	821	728
530	822	726
531	823	724
532	824	722
533	825	720
534	826	718
535	827	716
536	828	714
537	829	712
538	830	710
539	831	708
540	832	706
541	834	705
542	835	703
543	837	701
544	838	699
545	839	697
546	840	695
547	841	693
548	842	691
549	843	690
550	844	688
551	845	686
552	847	685
553	849	683
554	850	681
555	851	680
556	852	678
557	853	676
558	854	674
559	855	672
560	856	670
561	857	668
562	858	666
563	860	664
564	862	663
565	863	662
566	865	660
567	865	658
568	866	656
569	867	654
570	868	652
571	869	650
572	870	648
573	871	646
574	872	644
575	873	642
576	874	640
577	875	638
578	877	638
579	879	637
580	880	635
581	881	633
582	882	631
583	883	629
584	884	627
585	885	625
586	886	623
587	887	621
588	888	619
589	889	617
590	891	617
591	894	616
592	895	614
593	896	612
594	897	611
595	898	609
596	899	607
597	900	605
598	901	603
599	902	601
600	904	600
601	907	599
602	908	597
603	909	596
604	910	594
605	911	592
606	912	590
607	913	588
608	914	587
609	915	585
610	916	583
611	917	581
612	918	580
613	921	579
614	922	577
615	924	576
616	925	574
617	926	572
618	927	570
619	928	568
620	929	567
621	930	565
622	930	563
623	931	561
624	933	560
625	935	558
626	936	557
627	937	555
628	939	553
629	940	552
630	941	550
631	942	548
632	943	546
633	943	544
634	944	543
635	945	541
636	946	539
637	948	538
638	951	537
639	953	536
640	954	534
641	956	533
642	957	531
643	958	530
644	960	528
645	961	526
646	962	524
647	964	524
648	966	522
649	967	521
650	969	519
651	969	517
652	970	515
653	971	514
654	972	512
655	973	510
656	974	508
657	975	507
658	977	505
659	979	504
660	981	503
661	982	501
662	984	500
663	989	500
664	990	498
665	991	497
666	992	495
667	995	494
668	996	493
669	997	491
670	998	489
671	999	487
672	1000	486
673	1001	484
674	1002	482
675	1004	481
676	1004	479
677	1006	478
678	1009	477
679	1011	476
680	1013	474
681	1014	473
682	1015	471
683	1016	469
684	1017	467
685	1018	466
686	1019	464
687	1021	463
688	1024	462
689	1026	461
690	1027	459
691	1028	457
692	1029	456
693	1030	454
694	1031	452
695	1032	450
696	1033	449
697	1034	447
698	1035	445
699	1036	444
700	1038	442
701	1040	441
702	1041	439
703	1042	438
704	1043	436
705	1044	435
706	1045	433
707	1046	431
708	1047	429
709	1048	428
710	1049	426
711	1050	424
712	1051	423
713	1053	422
714	1055	420
715	1056	419
716	1057	417
717	1059	415
718	1060	414
719	1061	412
720	1062	411
721	1063	409
722	1065	408
723	1066	406
724	1068	405
725	1070	403
726	1071	402
727	1072	400
728	1074	399
729	1074	397
730	1075	395
731	1076	394
732	1077	392
733	1079	391
734	1080	389
735	1082	388
736	1084	386
737	1085	385
738	1087	383
739	1088	382
740	1089	380
741	1090	379
742	1091	377
743	1092	375
744	1093	374
745	1094	372
746	1095	370
747	1097	369
748	1098	368
749	1100	366
750	1101	365
751	1102	363
752	1103	362
753	1104	360
754	1105	358
755	1106	357
756	1107	355
757	1108	353
758	1109	352
759	1111	351
760	1113	349
761	1114	348
762	1115	346
763	1116	344
764	1117	343
765	1118	341
766	1119	340
767	1120	338
768	1121	336
769	1122	335
770	1122	333
771	1123	331
772	1124	330
773	1126	329
774	1128	327
775	1130	326
776	1131	324
777	1132	323
778	1132	321
779	1133	319
780	1134	318
781	1135	316
782	1136	315
783	1137	313
784	1138	311
785	1139	310
786	1141	309
787	1143	307
788	1144	306
789	1145	304
790	1146	302
791	1147	301
792	1148	299
793	1149	298
794	1149	296
795	1150	294
796	1151	293
797	1152	291
798	1153	290
799	1156	289
800	1157	287
801	1158	286
802	1159	284
803	1160	283
804	1161	281
805	1162	279
806	1163	278
807	1164	276
808	1165	275
809	1166	273
810	1167	272
811	1170	270
812	1171	269
813	1173	268
814	1174	266
815	1175	265
816	1176	263
817	1177	261
818	1178	260
819	1179	258
820	1180	257
821	1181	255
822	1182	254
823	1184	253
824	1186	251
825	1187	250
826	1188	248
827	1189	247
828	1190	245
829	1191	243
830	1192	242
831	1193	240
832	1193	239
833	1194	237
834	1195	236
835	1197	234
836	1199	233
837	1200	232
838	1202	230
839	1202	229
840	1203	227
841	1204	226
842	1205	224
843	1206	223
844	1207	221
845	1208	220
846	1209	218
847	1210	217
848	1211	215
849	1214	214
850	1215	212
851	1216	211
852	1217	209
853	1218	208
854	1219	206
855	1220	205
856	1221	203
857	1222	202
858	1223	200
859	1224	199
860	1224	197
861	1226	196
862	1229	195
863	1230	193
864	1231	192
865	1232	190
866	1233	189
867	1234	187
868	1235	186
869	1236	184
870	1237	183
871	1237	181
872	1238	180
873	1239	178
874	1240	177
875	1243	175
876	1244	174
877	1245	173
878	1246	171
879	1247	170
880	1248	168
881	1249	167
882	1250	165
883	1251	164
884	1252	162
885	1253	161
886	1253	159
887	1254	158
888	1256	156
889	1258	155
890	1259	154
891	1260	152
892	1261	151
893	1262	149
894	1263	148
895	1264	146
896	1265	145
897	1266	143
898	1267	142
899	1267	140
900	1268	139
901	1270	137
902	1271	136
903	1273	135
904	1274	133
905	1275	132
906	1276	130
907	1277	129
908	1278	127
909	1279	126
910	1280	125
911	1281	123
912	1282	122
913	1283	120
914	1284	119
915	1285	117
916	1287	116
917	1288	115
918	1289	113
919	1290	112
920	1291	110
921	1292	109
922	1293	107
923	1294	106
924	1295	105
925	1296	103
926	1297	102
927	1298	100
928	1299	99
929	1301	97
930	1302	96
931	1303	95
932	1305	93
933	1306	92
934	1307	90
935	1308	89
936	1309	88
937	1309	86
938	1310	85
939	1311	83
940	1312	82
941	1315	80
942	1316	79
943	1317	78
944	1319	76
945	1320	75
946	1321	73
947	1322	72
948	1323	71
949	1324	69
950	1324	68
951	1325	66
952	1326	65
953	1328	64
954	1329	62
955	1332	61
956	1333	59
957	1334	58
958	1336	57
959	1336	55
960	1337	54
961	1338	52
962	1339	51
963	1340	50
964	1341	48
965	1344	47
966	1345	45
967	1347	44
968	1348	43
969	1349	41
970	1350	40
971	1350	38
972	1352	37
973	1353	36
974	1354	34
975	1354	33
976	1355	31
977	1356	30
978	1358	29
979	1360	27
980	1362	26
981	1363	24
982	1364	23
983	1365	22
984	1366	20
985	1367	19
986	1367	18
987	1368	16
988	1369	15
989	1370	13
990	1371	12
991	1374	11
992	1375	9
993	1376	8
994	1377	6
995	1378	5
996	1379	4
997	1380	2
998	1381	1
999	1382	0
